birthYear, deathYear
1910, 1993 
1886, 1945 
1921, 2000 
1914, 1948 
1921, 2012 
1901, 1994 
1911, 1946 
1890, 1952 
1902, 1961 
1634, 1698 
1618, 1677 
1739, 1801 
1787, 1870 
1797, 1849 
1895, 1979 
1586, 1652 
1861, 1936 
1906, 1977 
1580, 1648 
1916, 1952 
1655, 1731 
1655, 1693 
1763, 1814 
1507, 1579 
1611, 1678 
1600, 1660 
1967, 1989 
1924, 2001 
1918, 1992 
1914, 1994 
1898, 1977 
1933, 2005 
1967, 1989 
1936, 2011 
1752, 1783 
1906, 1943 
1708, 1744 
1607, 1678 
1910, 1990 
1751, 1775 
1619, 1681 
1874, 1943 
1916, 1979 
1904, 1964 
1509, 1539 
1921, 2007 
1926, 2000 
1895, 1978 
1915, 1990 
1918, 2010 
1929, 1996 
1923, 1970 
1619, 1675 
1746, 1813 
1646, 1664 
1533, 1583 
1631, 1673 
1601, 1673 
1803, 1866 
1610, 1673 
1631, 1677 
1852, 1908 
1930, 2010 
1829, 1903 
1890, 1939 
1799, 1869 
1754, 1814 
1821, 1884 
1917, 2003 
1838, 1885 
1888, 1954 
1660, 1681 
1640, 1700 
1813, 1852 
1864, 1920 
1894, 1945 
1899, 1985 
1930, 2011 
1856, 1935 
1924, 2005 
1867, 1939 
1928, 2008 
1620, 1687 
1920, 1989 
1884, 1955 
1865, 1926 
1901, 1984 
1864, 1953 
1638, 1708 
1903, 1968 
1870, 1932 
1885, 1917 
1842, 1890 
1825, 1876 
1686, 1736 
1859, 1943 
1897, 1961 
1906, 1976 
1935, 2002 
1901, 1967 
1776, 1835 
1920, 2010 
1891, 1942 
1510, 1574 
1865, 1945 
1927, 2011 
1604, 1665 
1645, 1714 
1914, 1988 
1844, 1914 
1926, 2015 
1490, 1542 
1865, 1937 
1874, 1933 
1949, 2015 
1890, 1952 
1666, 1718 
1786, 1849 
1788, 1821 
1829, 1913 
1828, 1902 
1648, 1692 
1606, 1653 
1768, 1808 
1907, 1984 
1922, 2004 
1897, 1977 
1941, 2013 
1902, 1949 
1824, 1882 
1818, 1888 
1895, 1980 
1590, 1661 
1901, 1989 
1861, 1935 
1797, 1828 
1837, 1924 
1670, 1728 
1888, 1968 
1919, 2013 
1896, 1943 
1914, 1974 
1920, 2007 
1942, 2010 
1924, 1984 
1914, 2007 
1944, 2014 
1903, 1984 
1661, 1730 
1923, 1999 
1902, 1967 
1831, 1896 
1887, 1966 
1928, 2014 
1612, 1676 
1903, 1990 
1893, 1951 
1912, 2001 
1865, 1923 
1625, 1663 
1495, 1550 
1609, 1645 
1853, 1915 
1939, 2001 
1889, 1929 
1607, 1661 
1805, 1878 
1565, 1640 
1573, 1639 
1587, 1661 
1888, 1962 
1805, 1880 
1953, 2004 
1896, 1960 
1910, 1945 
1754, 1814 
1949, 2012 
1933, 2013 
1585, 1631 
1600, 1635 
1825, 1888 
1909, 1993 
1899, 1965 
1918, 1949 
1883, 1929 
1900, 1977 
1748, 1801 
1918, 1999 
1907, 1970 
1754, 1828 
1908, 1970 
1606, 1653 
1882, 1954 
1660, 1719 
1886, 1966 
1337, 1409 
1905, 1965 
1900, 1955 
1588, 1657 
1863, 1954 
1921, 1996 
1605, 1690 
1816, 1902 
1792, 1844 
1625, 1683 
1631, 1703 
1673, 1732 
1579, 1656 
1810, 1882 
1910, 2000 
1923, 2002 
1899, 2000 
1920, 1945 
1564, 1624 
1620, 1680 
1904, 1976 
1878, 1955 
1906, 1966 
1915, 1951 
1875, 1936 
1816, 1896 
1878, 1946 
1849, 1913 
1621, 1686 
1918, 1997 
1925, 2014 
1944, 1991 
1933, 2007 
1910, 1991 
1939, 1995 
1885, 1974 
1922, 2006 
1918, 1944 
1577, 1627 
1946, 2007 
1579, 1620 
1899, 1988 
1922, 1983 
1941, 2012 
1954, 2002 
1801, 1876 
1912, 1986 
1904, 1988 
1921, 1987 
1908, 1986 
1603, 1659 
1880, 1950 
1643, 1670 
1640, 1690 
1612, 1643 
1855, 1946 
1918, 2005 
1795, 1874 
1832, 1897 
1917, 1991 
1622, 1670 
1823, 1897 
1628, 1654 
1846, 1916 
1597, 1678 
1631, 1691 
1753, 1806 
1792, 1857 
1622, 1672 
1829, 1907 
1677, 1735 
1857, 1915 
1873, 1956 
1752, 1804 
1638, 1696 
1644, 1708 
1620, 1672 
1776, 1857 
1920, 1998 
1608, 1682 
1707, 1748 
1880, 1943 
1585, 1650 
1773, 1862 
1606, 1682 
1620, 1690 
1642, 1722 
1635, 1680 
1897, 1964 
1615, 1655 
1587, 1639 
1747, 1820 
1611, 1666 
1619, 1666 
1911, 1995 
1896, 1978 
1938, 1974 
1942, 2007 
1929, 2002 
1922, 1995 
1893, 1953 
1146, 1206 
1603, 1667 
1634, 1685 
1754, 1828 
1622, 1673 
1674, 1760 
1585, 1642 
1568, 1627 
1182, 1218 
1092, 1158 
0990, 1045 
1934, 2015 
1905, 1968 
1438, 1477 
1867, 1933 
1910, 1950 
1489, 1540 
1837, 1890 
1884, 1945 
1844, 1902 
1749, 1822 
1910, 1990 
1913, 2003 
1889, 1953 
1635, 1682 
1812, 1893 
1570, 1643 
1613, 1661 
1846, 1941 
1829, 1896 
1735, 1807 
1895, 1963 
1918, 2009 
1892, 1981 
1676, 1718 
1888, 1976 
1856, 1935 
1680, 1640 
1755, 1850 
1704, 1779 
1778, 1854 
1766, 1841 
1541, 1620 
1635, 1635 
1615, 1684 
1618, 1709 
1590, 1677 
1603, 1671 
1627, 1673 
1643, 1680 
1619, 1679 
1582, 1661 
1590, 1660 
1677, 1704 
1510, 1553 
1655, 1717 
1655, 1704 
1621, 1650 
1587, 1658 
1660, 1720 
1618, 1655 
1630, 1673 
1659, 1722 
1650, 1716 
1524, 1581 
1920, 2007 
1814, 1895 
1702, 1746 
1652, 1700 
1816, 1872 
1691, 1764 
1867, 1944 
1486, 1538 
1842, 1912 
1818, 1897 
1605, 1654 
1903, 1981 
1882, 1966 
1899, 1973 
1857, 1920 
1758, 1822 
1838, 1909 
1626, 1693 
1626, 1652 
1550, 1612 
1710, 1792 
1620, 1675 
1712, 1792 
1629, 1704 
1603, 1656 
1810, 1894 
1884, 1954 
1877, 1943 
1922, 1965 
1795, 1876 
1925, 1998 
1491, 1544 
